"aus:vic:vic-01-ABY:","Seymour","Albury - Melbourne Via Seymour"
"29-735-aus-1","735","Nunawading - Box Hill Station"
"29-736-aus-1","736","Blackburn - Mitcham"
"29-737-aus-1","737","Monash University - Croydon"
"29-738-aus-1","738","Knox City - Mitcham"
"29-742-aus-1","742","Chadstone SC - Ringwood Station"
"29-753-aus-1","753","Bayswater - Glen Waverley"
"29-754-aus-1","754","Glen Waverley - Rowville"
"29-755-aus-1","755","Knox City SC - Bayswater"
"29-765-aus-1","765","Box Hill - Mitcham"
"32-246-aus-1","246","Elsternwick - Clifton Hill"
"32-600-aus-1","600","Southland SC - St Kilda Station"
"32-603-aus-1","603","Brighton Beach - Burnley Station"
"32-604-aus-1","604","Elsternwick Station - Anzac Station"
"32-922-aus-1","922","Southland SC - St Kilda Station"
"32-923-aus-1","923","Southland SC - St Kilda Station"
"33-200-aus-1","200","Bulleen - City (Queen St)"
"33-207-aus-1","207","Doncaster SC - City (Queen St)"
"33-250-aus-1","250","La Trobe University - City (Queen St)"
"33-251-aus-1","251","Northland SC - City (Queen St)"
"33-350-aus-1","350","La Trobe University - City (Queen St)"
"33-901-aus-1","901","Frankston - Melbourne Airport"
"33-902-aus-1","902","Chelsea Railway Station - Airport West SC"
"35-215-aus-1","215","Caroline Springs - Highpoint SC"
"35-216-aus-1","216","Sunshine Station - City (Queen St)"
"35-220-aus-1","220","Sunshine Station - City (Queen St)"
"35-223-aus-1","223","Yarraville - Highpoint SC"
"35-232-aus-1","232","Altona North - City (Queen Victoria Market)"
"35-234-aus-1","234","Garden City - City (Queen Victoria Market)"
"35-235-aus-1","235","Fishermans Bend - City (Southern Cross Station)"
"35-236-aus-1","236","Garden City - City (Queen Victoria Market)"
"35-237-aus-1","237","Fishermans Bend - City (Southern Cross Station)"
"35-426-aus-1","426","Caroline Springs - Sunshine Station"
"35-429-aus-1","429","Sunshine Station"
"35-903-aus-1","903","Mordialloc - Altona"
"36-420-aus-1","420","Watergardens Station - Sunshine Station"
"36-444-aus-1","444","Aintree - Rockbank Station"
"36-453-aus-1","453","Melton - Melton Station"
"36-454-aus-1","454","Cobblebank Station - Melton Station"
"36-455-aus-1","455","Micasa Rise - Melton Station"
"36-456-aus-1","456","Sunshine Station - Melton"
"36-457-aus-1","457","Melton - Melton Station"
"36-458-aus-1","458","Kurunjang - Melton Station"
"36-459-aus-1","459","Arnolds Creek - Melton Station"
"36-941-aus-1","941","Watergardens Station - Sunshine Station"
"36-943-aus-1","943","Melton - Watergardens Station"
"37-503-aus-1","503","Essendon - East Brunswick"
"37-504-aus-1","504","Clifton Hill - Moonee Ponds"
"37-505-aus-1","505","Melbourne University - Moonee Ponds"
"37-506-aus-1","506","Moonee Ponds - Westgarth"
"37-508-aus-1","508","Alphington - Moonee Ponds"
"37-509-aus-1","509","Brunswick West - Barkly Square SC"
"37-510-aus-1","510","Ivanhoe Station - Essendon Station"
"37-512-aus-1","512","East Coburg - Strathmore Station"
"37-546-aus-1","546","Melbourne University - Heidelberg Station"
"37-552-aus-1","552","North East Reservoir - Northcote Plaza"
"37-553-aus-1","553","West Preston - Preston"
"37-558-aus-1","558","Reservoir (clockwise) - Reservoir (anti-clockwise)"
"37-567-aus-1","567","Northcote - Regent"
"37-609-aus-1","609","Kew/Hawthorn - Fairfield"
"38-418-aus-1","418","Caroline Springs - St Albans Station"
"38-419-aus-1","419","St Albans Station - Watergardens Station"
"38-421-aus-1","421","St Albans Station - Watergardens Station"
"38-423-aus-1","423","Brimbank Central SC - St Albans Station"
"38-424-aus-1","424","Brimbank Central SC - St Albans Station"
"38-425-aus-1","425","St Albans Station - Watergardens Station"
"38-460-aus-1","460","Caroline Springs Station - Watergardens Station"
"38-461-aus-1","461","Caroline Springs Town Centre - Watergardens Station"
"38-462-aus-1","462","Caroline Springs Station - Watergardens Station"
"38-463-aus-1","463","Hillside - Watergardens Station"
"38-465-aus-1","465","Keilor Park - Essendon Station"
"38-467-aus-1","467","Aberfeldie - Moonee Ponds Station"
"38-468-aus-1","468","Highpoint SC - Essendon"
"38-469-aus-1","469","Keilor East - Moonee Ponds"
"38-476-aus-1","476","Watergardens Station - Moonee Ponds"
"40-683-aus-1","683","Warburton - Chirnside Park SC"
"41-627-aus-1","627","Moorabbin Station - Chadstone SC"
"41-631-aus-1","631","Waverley Gardens SC - Southland SC"
"41-705-aus-1","705","Springvale - Mordialloc"
"41-708-aus-1","708","Carrum Station - Hampton Station"
"41-709-aus-1","709","Noble Park Station - Mordialloc"
"41-800-aus-1","800","Chadstone SC - Dandenong"
"41-802-aus-1","802","Chadstone SC - Dandenong"
"41-804-aus-1","804","Chadstone SC - Dandenong"
"41-811-aus-1","811","Brighton - Dandenong"
"41-812-aus-1","812","Brighton - Dandenong"
"41-813-aus-1","813","Waverley Gardens SC - Dandenong"
"41-814-aus-1","814","Springvale South - Dandenong"
"41-816-aus-1","816","Noble Park Station - Keysborough South"
"41-822-aus-1","822","Sandringham - Chadstone SC"
"41-823-aus-1","823","Southland SC - North Brighton"
"41-824-aus-1","824","Keysborough - Moorabbin"
"41-825-aus-1","825","Southland SC - Moorabbin"
"41-828-aus-1","828","Berwick Station - Hampton Station"
"41-843-aus-1","843","Endeavour Hills - Dandenong Station"
"41-844-aus-1","844","Doveton - Dandenong"
"41-845-aus-1","845","Endeavour Hills - Dandenong Station"
"41-848-aus-1","848","Brandon Park SC - Dandenong"
"41-850-aus-1","850","Glen Waverley - Dandenong"
"41-857-aus-1","857","Chelsea Station - Dandenong Station"
"41-858-aus-1","858","Aspendale Gardens - Edithvale Railway Station"
"41-861-aus-1","861","Endeavour Hills - Dandenong Station"
"41-862-aus-1","862","Chadstone SC - Dandenong"
"41-863-aus-1","863","Cranbourne West - Endeavour Hills SC"
"41-885-aus-1","885","Springvale - Glen Waverley"
"41-900-aus-1","900","Stud Park SC (Rowville) - Caulfield"
"41-978-aus-1","978","Dandenong Station - Clayton Station"
"41-979-aus-1","979","Dandenong Station - Clayton Station"
"41-981-aus-1","981","Cranbourne - Dandenong Station"
"41-982-aus-1","982","Cranbourne - Dandenong Station"
"42-301-aus-1","301","La Trobe University - Reservoir Station"
"42-343-aus-1","343","Hurstbridge Station - Greensborough"
"42-356-aus-1","356","Wollert East - Epping Station"
"42-357-aus-1","357","Wollert West - Thomastown Station"
"42-358-aus-1","358","Wollert - Epping Station"
"42-381-aus-1","381","Diamond Creek Station - Mernda Station"
"42-382-aus-1","382","Whittlesea - Northland SC"
"42-383-aus-1","383","Palisades - University Hill"
"42-384-aus-1","384","Kinglake - Whittlesea"
"42-385-aus-1","385","Mernda Station/Whittlesea - Greensborough"
"42-386-aus-1","386","Mernda Station - Bundoora RMIT"
"42-387-aus-1","387","Mernda Station - Bundoora RMIT"
"42-388-aus-1","388","Mernda Station"
"42-389-aus-1","389","Mernda Station"
"42-390-aus-1","390","Mernda Station - Craigieburn Station"
"42-513-aus-1","513","Eltham - Glenroy"
"42-514-aus-1","514","Eltham - Glenroy"
"42-517-aus-1","517","St Helena - Northland SC"
"42-518-aus-1","518","St Helena West - Greensborough"
"42-554-aus-1","554","Lalor"
"42-555-aus-1","555","Northland SC - Epping Plaza SC"
"42-556-aus-1","556","Epping Plaza SC - Northland SC"
"42-557-aus-1","557","Thomastown"
"42-559-aus-1","559","Thomastown Station"
"42-561-aus-1","561","Macleod - Pascoe Vale"
"42-564-aus-1","564","South Morang Station - Bundoora RMIT"
"42-566-aus-1","566","Lalor - Northland SC"
"42-569-aus-1","569","Epping Plaza SC - South Morang Station"
"42-570-aus-1","570","Thomastown - Bundoora RMIT"
"42-577-aus-1","577","Epping Plaza SC - South Morang Station"
"42-578-aus-1","578","Eltham Station - Warrandyte"
"42-579-aus-1","579","Eltham - Warrandyte"
"42-580-aus-1","580","Eltham Station - Diamond Creek"
"42-582-aus-1","582","Eltham Station"
"43-477-aus-1","477","Broadmeadows Station - Moonee Ponds"
"43-478-aus-1","478","Melbourne Airport - Airport West SC"
"43-479-aus-1","479","Sunbury Station - Airport West SC"
"43-482-aus-1","482","Melbourne Airport - Airport West SC"
"43-484-aus-1","484","Roxburgh Park - Broadmeadows"
"43-490-aus-1","490","Gowanbrae - Airport West"
"43-525-aus-1","525","Donnybrook Station - Craigieburn Station"
"43-534-aus-1","534","Coburg - Glenroy"
"43-536-aus-1","536","Gowrie - Glenroy"
"43-538-aus-1","538","Broadmeadows - Somerset Estate"
"43-540-aus-1","540","Upfield - Broadmeadows"
"43-541-aus-1","541","Craigieburn North (Mt Ridley Rd) - Broadmeadows Station"
"43-542-aus-1","542","Roxburgh Park - Pascoe Vale"
"43-543-aus-1","543","Craigieburn Central - Roxburgh Park"
"44-684-aus-1","684","Ringwood - Eildon"
"44-685-aus-1","685","Lilydale - Healesville"
"44-965-aus-1","965","Healesville - Lilydale Station"
"aus:vic:vic-01-ABY:","Seymour","Albury - Melbourne Via Seymour"
"aus:vic:vic-01-ART:","Ballarat","Ararat - Melbourne Via Ballarat"
"aus:vic:vic-01-BAT:","Ballarat","Ballarat - Melbourne Via Melton"
"aus:vic:vic-01-BDE:","Traralgon","Bairnsdale - Melbourne Via Traralgon & Sale"
"aus:vic:vic-01-BGO:","Bendigo","Bendigo - Melbourne Via Sunbury"
"aus:vic:vic-01-ECH:","Bendigo","Echuca/Moama - Melbourne Via Bendigo or Heathcote"
"aus:vic:vic-01-GEL:","Geelong","Geelong - Melbourne Via Geelong"
"aus:vic:vic-01-MBY:","Ballarat","Maryborough - Melbourne Via Ballarat"
"aus:vic:vic-01-SER:","Seymour","Seymour - Melbourne Via Broadmeadows"
"aus:vic:vic-01-SNH:","Seymour","Shepparton - Melbourne Via Seymour"
"aus:vic:vic-01-SWL:","Bendigo","Swan Hill - Melbourne Via Bendigo"
"aus:vic:vic-01-TRN:","Traralgon","Traralgon - Melbourne Via Pakenha"
"aus:vic:vic-01-vPK:","Pakenham","Pakenham - City Via Pakenham"
"aus:vic:vic-01-WBL:","Geelong","Warrnambool - Melbourne Via Geelong & Colac"
"aus:vic:vic-02-ALM:","Alamein","Alamein - City"
"aus:vic:vic-02-BEG:","Belgrave","Belgrave - City"
"aus:vic:vic-02-CBE:","Cranbourne","Cranbourne - City"
"aus:vic:vic-02-CCL:","City Circle",""
"aus:vic:vic-02-CGB:","Craigieburn","Craigieburn - City"
"aus:vic:vic-02-FKN:","Frankston","Frankston - City"
"aus:vic:vic-02-GWY:","Glen Waverley","Glen Waverley - City"
"aus:vic:vic-02-HBE:","Hurstbridge","Hurstbridge - City"
"aus:vic:vic-02-LIL:","Lilydale","Lilydale - City"
"aus:vic:vic-02-MDD:","Mernda","Mernda - City"
"aus:vic:vic-02-PKM:","Pakenham","Pakenham - City"
"aus:vic:vic-02-RCE:","Flemington Racecourse","Flemington Racecourse - City"
"aus:vic:vic-02-SHM:","Sandringham","Sandringham - City"
"aus:vic:vic-02-STY:","Stony Point","Stony Point - Frankston"
"aus:vic:vic-02-SUY:","Sunbury","Sunbury - City"
"aus:vic:vic-02-UFD:","Upfield","Upfield - City"
"aus:vic:vic-02-WER:","Werribee","Werribee - City"
